#N S_wide S_narrow rel_err_wide rel_err_narrow
100 1.6527631123 0.9500000000 0.7498496978 0.0058048855
600 0.8587886760 0.9333333333 -0.0907643727 -0.0118408143
1100 0.8219624035 0.9568181818 -0.1297538936 0.0130235808
1600 0.9175265808 0.9515625000 -0.0285760869 0.0074591698
2100 0.9536952413 0.9398809524 0.0097171926 -0.0049085751
2600 1.0283028414 0.9466346154 0.0887073912 0.0022418115
3100 0.8718560631 0.9379032258 -0.0769293814 -0.0070024772
3600 0.9236029157 0.9538194444 -0.0221428159 0.0098486917
4100 0.9627285848 0.9454268293 0.0192811726 0.0009630776
4600 0.9299434392 0.9546195652 -0.0154298375 0.0106958131
5100 0.9760261978 0.9416666667 0.0333599138 -0.0030179644
5600 0.9288112028 0.9515625000 -0.0166285837 0.0074591698
6100 0.8893363710 0.9409836066 -0.0584222455 -0.0037411488
6600 0.9648483410 0.9248106061 0.0215254475 -0.0208641835
7100 0.9557818164 0.9364436620 0.0119263373 -0.0085477787
7600 0.9645382250 0.9365131579 0.0211971147 -0.0084742005
8100 0.9602109585 0.9396604938 0.0166156560 -0.0051419838
8600 0.9416906105 0.9427325581 -0.0029926140 -0.0018894603
9100 0.9476411640 0.9418956044 0.0033074867 -0.0027755784
9600 0.8790431259 0.9472656250 -0.0693201362 0.0029098879
10100 0.9606625429 0.9490099010 0.0170937673 0.0047566261
10600 0.9988118920 0.9448113208 0.0574840849 0.0003114129
11100 0.9257925860 0.9426801802 -0.0198245201 -0.0019449151
11600 0.9579656376 0.9348060345 0.0142384405 -0.0102816037
12100 0.9440917146 0.9463842975 -0.0004504643 0.0019767895
12600 0.9691272031 0.9532738095 0.0260556585 0.0092710051
13100 0.9395590931 0.9442748092 -0.0052493411 -0.0002566144
13600 0.9457636668 0.9469669118 0.0013197017 0.0025936276
14100 0.9529072262 0.9425531915 0.0088828879 -0.0020793633
14600 0.9542343030 0.9457191781 0.0102879198 0.0012725996
15100 0.9541857937 0.9479304636 0.0102365610 0.0036137804
15600 0.9666046709 0.9436698718 0.0233849477 -0.0008970870
16100 0.9915370955 0.9386645963 0.0497819524 -0.0061963824
16600 0.9593288370 0.9471385542 0.0156817169 0.0027753527
17100 0.9477661191 0.9464912281 0.0034397820 0.0020900013
17600 0.9020595463 0.9364346591 -0.0449516856 -0.0085573105
18100 0.9808077488 0.9444751381 0.0384223426 -0.0000445177
18600 0.9931214148 0.9467069892 0.0514593377 0.0023184367
19100 0.9264024837 0.9476439791 -0.0191787958 0.0033104672
19600 0.9870944158 0.9455357143 0.0450783009 0.0010783588
20100 0.9431922941 0.9445895522 -0.0014027185 0.0000766173
20600 0.9599429385 0.9417475728 0.0163318919 -0.0029323057
21100 0.9616160065 0.9398104265 0.0181032393 -0.0049832437
21600 0.9100999491 0.9468171296 -0.0364389736 0.0024350470
22100 0.9607757885 0.9436651584 0.0172136652 -0.0009020773
22600 0.9476931641 0.9365044248 0.0033625415 -0.0084834466
23100 0.9322307853 0.9429653680 -0.0130081282 -0.0016429748
23600 0.9450245712 0.9482521186 0.0005371901 0.0039543301
24100 0.9536568215 0.9406639004 0.0096765159 -0.0040796351
24600 0.9105610260 0.9465447154 -0.0359508121 0.0021466307
25100 0.9555581435 0.9499003984 0.0116895253 0.0056994331
25600 0.9577822999 0.9456542969 0.0140443332 0.0012039071
26100 0.9319840674 0.9452107280 -0.0132693387 0.0007342821
26600 0.9502839655 0.9481203008 0.0061055317 0.0038147690
27100 0.9162485324 0.9445110701 -0.0299292103 -0.0000064750
27600 0.9630550616 0.9464221014 0.0196268273 0.0020168141
28100 0.9497246689 0.9451957295 0.0055133809 0.0007184026
28600 0.9412795266 0.9445367133 -0.0034278459 0.0000206745
29100 0.9518338603 0.9417096220 0.0077464704 -0.0029724858
29600 0.9452806513 0.9402871622 0.0008083129 -0.0044785037
30100 0.9328082604 0.9526993355 -0.0123967310 0.0086627854
30600 0.9124828256 0.9442810458 -0.0339161222 -0.0002500115
31100 0.9487679300 0.9495176849 0.0045004413 0.0052942382
31600 0.9491389057 0.9395965190 0.0048932088 -0.0052097167
32100 0.9304174970 0.9411604361 -0.0149279326 -0.0035539319
32600 0.9227082406 0.9434432515 -0.0230900460 -0.0011370194
33100 0.9325613794 0.9432401813 -0.0126581143 -0.0013520184
33600 0.9322833943 0.9410714286 -0.0129524288 -0.0036481680
34100 0.9531114515 0.9417521994 0.0090991099 -0.0029274073
34600 0.9531065075 0.9429190751 0.0090938754 -0.0016919870
35100 0.9655659812 0.9447293447 0.0222852433 0.0002246215
35600 0.9506391927 0.9472612360 0.0064816256 0.0029052410
36100 0.9528231858 0.9445983380 0.0087939109 0.0000859191
36600 0.9557444034 0.9484631148 0.0118867266 0.0041777205
37100 0.9431258033 0.9435309973 -0.0014731152 -0.0010441193
37600 0.9458397160 0.9423204787 0.0014002182 -0.0023257461
38100 0.9150545810 0.9446194226 -0.0311932968 0.0001082423
38600 0.9848070359 0.9437500000 0.0426565557 -0.0008122519
39100 0.9585379567 0.9463235294 0.0148443787 0.0019124517
39600 0.9194292715 0.9500631313 -0.0265616283 0.0058717253
40100 0.9467566310 0.9504364090 0.0023709946 0.0062669300
40600 0.9149823026 0.9436576355 -0.0312698210 -0.0009100421
41100 0.9480856669 0.9422141119 0.0037781006 -0.0024383611
