#type size merge hybrid_5 hybrid_10 hybrid_20 hybrid_30 hybrid_50
0 500 392 233 176 158 154 229
0 600 410 167 201 128 111 118
0 700 582 345 295 258 2425 234
0 800 489 309 276 298 203 227
0 900 508 327 326 241 198 188
0 1000 549 321 285 234 271 250
0 1100 653 389 293 273 251 297
0 1200 610 490 395 487 495 474
0 1300 1056 666 582 552 532 529
0 1400 1180 767 646 412 379 422
0 1500 1068 1400 739 733 622 645
0 1600 1303 775 552 470 513 440
0 1700 932 669 551 495 496 464
0 1800 997 756 760 830 771 762
0 1900 1542 724 623 573 530 519
0 2000 1060 743 760 600 589 563
0 2100 1119 777 680 692 617 609
0 2200 1170 813 722 682 737 649
0 2300 1249 859 774 739 920 758
0 2400 1301 885 786 734 775 718
0 2500 1356 925 827 771 795 755
0 2600 1405 971 894 848 792 797
0 2700 1461 1035 988 904 845 841
0 2800 1537 1133 1026 932 878 877
0 2900 1838 1169 1061 969 901 928
0 3000 1638 1235 1102 1063 950 957
0 3100 1712 1302 2184 1051 980 1000
0 3200 2902 1651 1194 1087 1015 1045
0 3300 2127 1382 1232 1113 1117 1056
0 3400 1889 1416 1421 1161 1133 1098
0 3500 2058 1489 1293 1181 1343 1129
0 3600 2007 1626 1319 1214 1157 1295
0 3700 2085 1527 1467 1257 1195 1197
0 3800 2271 1579 1405 1342 1248 1253
0 3900 2178 1685 1442 1315 1321 1271
0 4000 2248 1888 1496 1453 1359 3873
0 4100 4133 2308 1567 1470 1409 1373
0 4200 2439 1734 1599 1465 1475 1460
0 4300 2536 1790 1680 1484 1483 1474
0 4400 2605 1846 1737 1689 1605 1589
0 4500 2772 1842 1944 1550 1632 1651
0 4600 2622 1936 1736 1591 1589 1684
0 4700 2672 2174 1755 1614 2142 1809
0 4800 3312 1983 1782 1758 1652 1654
0 4900 2860 2006 1988 1703 2008 2030
0 5000 2882 2354 1912 1886 1747 1755
0 5100 3027 2183 1996 1812 1797 1948
0 5200 3069 2451 2026 2849 2733 2030
0 5300 3261 2314 2090 1945 2222 2630
0 5400 3617 2571 5667 2620 1888 2875
0 5500 4030 2365 2238 2040 1931 2035
0 5600 3259 3298 2409 2091 1967 2029
0 5700 3310 2774 2345 2172 2014 2139
0 5800 3378 2579 2364 2277 2044 2079
0 5900 3492 2793 2721 2274 2079 2130
0 6000 3537 2759 2456 2244 2199 2157
0 6100 3585 2929 2517 2284 2299 2231
0 6200 3817 2857 2551 2627 2206 2261
0 6300 3732 3081 2568 2486 2251 2425
0 6400 3777 3088 2619 2549 2300 4854
0 6500 6370 4446 3154 2458 2362 2330
0 6600 5465 3469 2744 2544 2376 2421
0 6700 4047 3176 3079 2497 2462 2392
0 6800 4097 3216 2770 2660 2455 2508
0 6900 4068 3151 2885 2615 2588 2490
0 7000 4235 3255 2916 2886 2735 2857
0 7100 4462 3696 3322 2786 2647 2994
0 7200 5362 3472 3282 2757 2608 2630
0 7300 4436 3512 3182 2840 2936 2708
0 7400 4573 3560 3060 3083 2772 3006
0 7500 4883 3454 3048 3058 2733 2922
0 7600 4705 3767 3110 3262 2770 2904
0 7700 4881 3559 3146 2997 2832 2878
0 7800 4766 3518 3284 3087 2908 3047
0 7900 4894 3672 3252 3119 2988 2973
0 8000 4885 3757 3277 3410 3158 3083
0 8100 5287 4005 3443 3121 3299 3045
0 8200 5051 4051 4241 3454 3652 4155
0 8300 6021 4335 4475 3229 4310 3320
0 8400 5248 4061 3648 3395 3863 3243
0 8500 6186 3895 3920 3433 3251 3410
0 8600 5474 4116 3726 3578 3779 3884
0 8700 5847 4023 3553 3325 3304 3246
0 8800 6039 4474 4454 4143 4131 3615
0 8900 6081 4245 3897 3607 4048 3424
0 9000 6651 5161 4667 4133 3816 3720
0 9100 7887 5378 5545 3659 3566 3861
0 9200 6034 4325 3866 3729 3582 3472
0 9300 5701 4264 3810 3606 3590 3783
0 9400 5972 4337 3931 3582 3640 3752
0 9500 5841 5177 4546 4163 3867 3663
0 9600 6182 4546 4109 4148 3826 3644
0 9700 6029 4479 4043 4056 3851 3778
0 9800 6143 4434 4199 4048 3977 4148
0 9900 6490 4801 4701 4165 4422 4155
0 10000 6412 5085 4379 4191 4165 4205
0 10100 8493 6395 4811 4875 3992 4407
0 10200 8849 5224 4311 4393 4024 4004
0 10300 6384 4719 4387 3995 4076 4041
0 10400 6467 5148 4619 4966 5174 4079
0 10500 7969 7060 4638 4295 5516 6157
0 10600 8704 6340 4994 4832 5438 4995
0 10700 8837 5142 4804 4420 4226 4159
0 10800 6898 5328 5088 5780 4376 4235
0 10900 8260 5575 4796 4576 4354 4531
0 11000 7632 5616 5269 5143 4406 4909
0 11100 6915 5628 5284 5207 5562 4606
0 11200 7243 5399 5073 4829 4708 4413
0 11300 7115 5359 5133 4702 4507 4741
0 11400 7288 6737 5848 4995 4560 4624
0 11500 7549 6274 5476 4836 4554 4579
0 11600 7450 5779 5275 4881 4647 4624
0 11700 7293 5792 5331 4978 4713 4968
0 11800 7814 5807 5657 5158 4958 5151
0 11900 9040 7134 6660 5175 4795 5207
0 12000 7715 6849 5449 4986 4747 4855
0 12100 7576 6057 7731 7319 5200 4896
0 12200 7673 6046 5473 5073 4812 4911
