#type size quick intro
0 500 94 69
0 600 112 81
0 700 131 100
0 800 158 118
0 900 171 141
0 1000 204 146
0 1100 219 228
0 1200 251 184
0 1300 316 222
0 1400 339 251
0 1500 316 235
0 1600 327 268
0 1700 363 266
0 1800 372 283
0 1900 387 303
0 2000 481 404
0 2100 553 452
0 2200 593 421
0 2300 541 406
0 2400 532 406
0 2500 540 537
0 2600 693 567
0 2700 720 527
0 2800 614 466
0 2900 626 493
0 3000 750 591
0 3100 719 611
0 3200 704 540
0 3300 720 585
0 3400 898 676
0 3500 917 604
0 3600 776 821
0 3700 1169 709
0 3800 874 662
0 3900 867 678
0 4000 926 711
0 4100 949 2129
0 4200 973 762
0 4300 951 776
0 4400 976 766
0 4500 1181 840
0 4600 1008 826
0 4700 1052 825
0 4800 1293 867
0 4900 1144 888
0 5000 1231 1035
0 5100 1208 919
0 5200 1252 970
0 5300 1208 1031
0 5400 1198 975
0 5500 1552 1341
0 5600 1456 1128
0 5700 1353 1038
0 5800 1315 1064
0 5900 1459 1077
0 6000 1348 1082
0 6100 1427 1118
0 6200 1422 1149
0 6300 1592 1151
0 6400 1446 1197
0 6500 1596 1209
0 6600 1489 1417
0 6700 1764 1259
0 6800 1556 3249
0 6900 1907 1536
0 7000 1855 1294
0 7100 1690 1315
0 7200 1656 1345
0 7300 1826 1379
0 7400 1690 1395
0 7500 1723 1416
0 7600 2417 1925
0 7700 2043 1455
0 7800 1772 1456
0 7900 2277 2067
0 8000 2235 1499
0 8100 1848 1802
0 8200 1987 1554
0 8300 2468 1810
0 8400 2148 1587
0 8500 1947 1722
0 8600 1983 1640
0 8700 2163 1669
0 8800 2084 1660
0 8900 2065 1707
0 9000 2085 1705
0 9100 2266 1742
0 9200 2123 2016
0 9300 2342 1878
0 9400 2177 1820
0 9500 2497 1919
0 9600 2279 2075
0 9700 2331 1891
0 9800 2278 1902
0 9900 2322 1960
0 10000 2329 1931
0 10100 2493 1983
0 10200 2392 1991
0 10300 2432 2059
0 10400 2459 2015
0 10500 2434 2088
0 10600 2623 2033
0 10700 2472 2114
0 10800 2506 2068
0 10900 2760 2092
0 11000 2622 2118
0 11100 4163 3336
0 11200 3980 7867
0 11300 3582 2656
0 11400 2904 2207
0 11500 2789 2237
0 11600 2948 2887
0 11700 3476 3019
0 11800 3512 2694
0 11900 3356 3192
0 12000 2929 2478
0 12100 2920 2428
0 12200 2844 2336
0 12300 2858 2375
0 12400 2904 2407
0 12500 3022 2414
0 12600 2956 2472
0 12700 2987 2475
0 12800 2997 3113
0 12900 4582 3406
0 13000 3535 3396
0 13100 4203 3624
0 13200 3276 2823
0 13300 3224 2711
0 13400 3657 3520
0 13500 4252 3233
0 13600 3485 2733
0 13700 3522 2838
0 13800 4367 3741
0 13900 4247 3764
0 14000 3782 3354
0 14100 4375 3738
0 14200 4300 3815
0 14300 4351 3812
0 14400 4341 3825
0 14500 4405 3766
0 14600 4619 2976
0 14700 3498 2887
0 14800 3469 3207
0 14900 3492 2979
0 15000 3533 2989
0 15100 3576 2989
0 15200 3795 3045
0 15300 3625 3093
0 15400 3628 3083
0 15500 3630 3158
0 15600 3755 3944
0 15700 3967 3228
0 15800 3903 3320
0 15900 3901 3151
0 16000 3976 3201
0 16100 3852 3379
0 16200 4001 3299
0 16300 3966 3311
0 16400 3885 3806
0 16500 3956 3281
0 16600 5606 4426
0 16700 5378 4156
0 16800 4314 3490
0 16900 3982 3406
0 17000 4087 3516
0 17100 4103 3552
0 17200 4082 3415
0 17300 4108 3740
0 17400 4235 4259
0 17500 4228 3699
0 17600 4242 3723
