step,processed,mean_true,mean_est,std_est
0,2500,2462.53,2491.36,92.7722
1,5000,4892.13,4914.54,134.577
2,7500,7310.57,7344.76,185.413
3,10000,9720.43,9709.44,302.956
4,12500,12130.2,12093.5,425.149
5,15000,14537.4,14560.7,535.624
6,17500,16944.6,16964.3,601.261
7,20000,19350.2,19384,709.491
8,22500,21752,21759.4,777.04
9,25000,24153.4,24221.5,819.348
10,27500,26555,26810.8,955.37
11,30000,28952.1,29129.9,1009.77
12,32500,31349.1,31505.5,1172.44
13,35000,33744.6,33978.7,1215.17
14,37500,36136.6,36323.2,1225.51
15,40000,38527.7,38577.5,1253.49
16,42500,40919.5,41030,1326.56
17,45000,43311.7,43523,1389.38
18,47500,45704.6,45824.4,1367.19
19,50000,48092.2,48227.6,1675.58
